City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.24,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
1,Kapaa,US,75.18,clear sky,22.0752,-159.319,Pono Kai Resort
5,Saint-Philippe,RE,72.99,clear sky,-21.3585,55.7679,Le Baril
9,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Pearl Resort
10,Mar Del Plata,AR,77.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
11,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
19,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
20,Arequipa,PE,71.67,few clouds,-16.3989,-71.535,Casa Andina
30,Lazaro Cardenas,MX,84.49,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
31,Takoradi,GH,79.48,clear sky,4.8845,-1.7554,Hillcrest
34,Namibe,AO,70.25,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
39,Fare,PF,78.48,scattered clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
43,Sur,OM,76.66,few clouds,22.5667,59.5289,Sur Hotel
46,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,losmen Surya
52,Sinnamary,GF,79.68,overcast clouds,5.3833,-52.95,Hôtel du fleuve
66,Sao Francisco Do Sul,BR,73.31,mist,-26.2433,-48.6381,Hotel Zibamba
67,Mandera,KE,82.4,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
70,Kavieng,PG,82.98,few clouds,-2.5744,150.7967,Kavieng Hotel
79,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Comfort Rooms
80,Los Llanos De Aridane,ES,70.12,scattered clouds,28.6585,-17.9182,Valle Aridane
84,Kahului,US,77.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
85,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
94,Puerto Ayora,EC,73.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
96,Raub,MY,75.7,broken clouds,3.7899,101.857,Kim Fah Hotel
104,Puerto Carreno,CO,87.78,thunderstorm,6.189,-67.4859,Carreño Plaza
108,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti International Resort
