City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,75.24,72,7,3.67,clear sky
1,Kapaa,US,22.0752,-159.319,75.18,85,0,6.91,clear sky
2,Albany,US,42.6001,-73.9662,46.31,81,100,3.53,light rain
3,Matagami,CA,49.7502,-77.6328,28.51,74,100,9.22,overcast clouds
4,Te Anau,NZ,-45.4167,167.7167,44.96,94,100,1.39,overcast clouds
5,Saint-Philippe,RE,-21.3585,55.7679,72.99,71,1,7.74,clear sky
6,Longyearbyen,SJ,78.2186,15.6401,28.24,86,0,1.14,clear sky
7,Deniliquin,AU,-35.5333,144.9667,51.31,75,0,8.05,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,62.71,31,0,18.41,clear sky
9,Atuona,PF,-9.8,-139.0333,77.79,70,7,14.67,clear sky
10,Mar Del Plata,AR,-38.0023,-57.5575,77.83,88,0,9.22,clear sky
11,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,24.16,scattered clouds
12,Hobart,AU,-42.8794,147.3294,48.22,73,20,14.97,few clouds
13,Pevek,RU,69.7008,170.3133,-15.5,90,100,3.4,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,64.18,95,92,4.0,overcast clouds
15,Warrnambool,AU,-38.3833,142.4833,49.62,80,92,11.9,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,64.8,78,3,17.65,clear sky
17,Vinces,EC,-1.55,-79.7333,91.11,40,100,1.88,overcast clouds
18,Knysna,ZA,-34.0363,23.0471,62.71,90,13,8.1,few clouds
19,Avarua,CK,-21.2078,-159.775,78.85,65,40,9.22,scattered clouds
20,Arequipa,PE,-16.3989,-71.535,71.67,37,20,12.66,few clouds
21,Butaritari,KI,3.0707,172.7902,80.76,76,12,11.52,light rain
22,Ipixuna,BR,-1.7625,-48.8043,86.58,59,54,4.88,broken clouds
23,Ribeira Grande,PT,38.5167,-28.7,65.77,88,40,24.0,scattered clouds
24,Obo,CF,5.3998,26.4869,73.2,55,99,4.5,overcast clouds
25,Airai,TL,-8.9266,125.4092,60.55,88,100,1.61,overcast clouds
26,Katsuura,JP,35.1333,140.3,58.64,69,100,5.82,overcast clouds
27,Upernavik,GL,72.7868,-56.1549,11.26,81,100,4.12,overcast clouds
28,Srednekolymsk,RU,67.45,153.6833,-39.23,99,69,0.96,broken clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,20,2.3,few clouds
30,Lazaro Cardenas,MX,17.9583,-102.2,84.49,58,1,8.14,clear sky
31,Takoradi,GH,4.8845,-1.7554,79.48,82,6,10.09,clear sky
32,Ushuaia,AR,-54.8,-68.3,56.82,50,20,3.44,few clouds
33,Imeni Poliny Osipenko,RU,52.4201,136.4853,-5.48,100,99,0.67,overcast clouds
34,Namibe,AO,-15.1961,12.1522,70.25,85,100,7.92,overcast clouds
35,Hartford,US,41.7668,-72.7662,53.47,82,100,8.05,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,22.91,94,100,5.55,overcast clouds
37,Jamestown,US,42.097,-79.2353,50.02,78,100,9.22,overcast clouds
38,Cherskiy,RU,68.75,161.3,-24.57,97,100,1.97,overcast clouds
39,Fare,PF,-16.7,-151.0167,78.48,76,32,13.27,scattered clouds
40,Yar-Sale,RU,66.8333,70.8333,-1.26,93,85,5.46,overcast clouds
41,Castro,BR,-24.7911,-50.0119,62.92,96,99,7.65,overcast clouds
42,Bluff,NZ,-46.6,168.3333,47.71,79,100,7.27,overcast clouds
43,Sur,OM,22.5667,59.5289,76.66,62,21,4.81,few clouds
44,Port Elizabeth,ZA,-33.918,25.5701,66.49,90,40,9.22,scattered clouds
45,Kaitangata,NZ,-46.2817,169.8464,50.11,71,24,2.3,few clouds
46,Padang,ID,-0.9492,100.3543,75.94,84,100,3.47,overcast clouds
47,Sitka,US,57.0531,-135.33,30.09,86,0,0.0,clear sky
48,Udachnyy,RU,66.4167,112.4,-8.55,76,100,5.61,overcast clouds
49,Clyde River,CA,70.4692,-68.5914,-19.97,76,0,4.61,clear sky
50,Ancud,CL,-41.8697,-73.8203,67.35,57,60,5.86,broken clouds
51,Beringovskiy,RU,63.05,179.3167,19.87,87,100,7.07,overcast clouds
52,Sinnamary,GF,5.3833,-52.95,79.68,83,98,9.08,overcast clouds
53,Thompson,CA,55.7435,-97.8558,19.56,93,100,4.61,light snow
54,Saint George,US,37.1041,-113.5841,52.95,38,0,3.44,clear sky
55,Novyy Urgal,RU,51.0736,132.5642,4.82,97,100,2.01,overcast clouds
56,Lebu,CL,-37.6167,-73.65,64.96,64,0,10.49,clear sky
57,Flin Flon,CA,54.7682,-101.865,24.64,86,100,9.22,light snow
58,Shieli,KZ,44.1667,66.75,28.8,22,100,24.11,overcast clouds
59,Labuhan,ID,-6.8844,112.2051,76.77,87,99,7.38,overcast clouds
60,Puebla,MX,18.8333,-98.0,72.93,44,87,11.14,overcast clouds
61,Elko,US,41.0002,-115.5012,34.05,78,18,5.01,few clouds
62,Kruisfontein,ZA,-34.0033,24.7314,58.19,94,4,5.48,clear sky
63,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,19.57,broken clouds
64,Knyaze-Volkonskoye,RU,48.4642,135.4567,7.14,81,92,7.87,overcast clouds
65,Norman Wells,CA,65.282,-126.8329,1.44,78,100,18.41,light snow
66,Sao Francisco Do Sul,BR,-26.2433,-48.6381,73.31,88,75,12.66,mist
67,Mandera,KE,3.9366,41.867,82.4,55,64,9.42,broken clouds
68,Ati,TD,13.2154,18.3353,78.03,15,80,9.98,broken clouds
69,Innisfail,AU,-17.5333,146.0333,73.35,89,100,5.01,overcast clouds
70,Kavieng,PG,-2.5744,150.7967,82.98,72,15,8.5,few clouds
71,Kashi,CN,39.4547,75.9797,40.21,22,6,6.71,clear sky
72,Puri,IN,19.8,85.85,61.32,60,1,5.79,clear sky
73,East London,ZA,-33.0153,27.9116,65.01,83,100,9.04,overcast clouds
74,Vardo,NO,70.3705,31.1107,31.98,80,20,24.16,few clouds
75,Loksa,EE,59.5764,25.7214,28.92,90,100,7.81,overcast clouds
76,San Patricio,US,28.017,-97.5169,78.19,60,0,5.5,clear sky
77,Mosquera,CO,4.7059,-74.2302,57.29,82,75,9.22,thunderstorm
78,Mataura,NZ,-46.1927,168.8643,50.05,72,97,2.68,overcast clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,81.61,47,0,1.99,clear sky
80,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,29,40,11.5,scattered clouds
81,Canete,CL,-37.8,-73.4,74.1,45,1,6.46,clear sky
82,Kenai,US,60.5544,-151.2583,15.15,84,0,4.61,clear sky
83,Luderitz,NA,-26.6481,15.1594,60.66,90,11,3.6,few clouds
84,Kahului,US,20.8947,-156.47,77.97,86,40,11.01,scattered clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,92,100,17.92,overcast clouds
86,Cabedelo,BR,-6.9811,-34.8339,84.87,73,18,11.41,few clouds
87,Challapata,BO,-18.9,-66.7667,63.91,15,75,12.73,broken clouds
88,Chokurdakh,RU,70.6333,147.9167,-40.61,100,91,1.32,overcast clouds
89,Bethel,US,41.3712,-73.414,51.69,83,100,3.44,moderate rain
90,Najran,SA,17.4924,44.1277,63.25,46,52,2.01,broken clouds
91,Oria,ES,43.2554,-2.0187,57.22,63,100,1.01,overcast clouds
92,Barrow,US,71.2906,-156.7887,3.22,78,100,11.5,light snow
93,Yellowknife,CA,62.456,-114.3525,10.92,85,40,11.5,scattered clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,73.36,86,52,7.0,broken clouds
95,New Norfolk,AU,-42.7826,147.0587,47.88,74,73,6.44,broken clouds
96,Raub,MY,3.7899,101.857,75.7,98,64,0.69,broken clouds
97,Ahipara,NZ,-35.1667,173.1667,60.93,65,100,10.04,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,25.97,84,89,23.69,overcast clouds
99,Severo-Kurilsk,RU,50.6789,156.125,32.18,84,86,29.75,light snow
100,Aklavik,CA,68.2191,-135.0107,-13.0,77,75,4.61,broken clouds
101,Mujiayingzi,CN,42.1167,118.7833,23.68,57,80,4.54,broken clouds
102,Avera,US,33.194,-82.5271,74.71,53,40,17.27,scattered clouds
103,Waddan,LY,29.1614,16.139,58.44,62,100,23.6,overcast clouds
104,Puerto Carreno,CO,6.189,-67.4859,87.78,66,40,6.91,thunderstorm
105,Kodiak,US,57.79,-152.4072,26.11,63,0,3.44,clear sky
106,Schwanewede,DE,53.2333,8.6,43.03,95,100,1.01,light rain
107,Poltavka,RU,54.3663,71.7632,-8.81,92,5,6.42,clear sky
108,Vaini,TO,-21.2,-175.2,80.76,89,75,4.61,broken clouds
109,Narsaq,GL,60.9167,-46.05,30.42,92,100,7.58,overcast clouds
110,Evensk,RU,61.95,159.2333,19.38,92,100,23.11,snow
111,Sapulpa,US,35.9987,-96.1142,51.69,71,100,8.05,overcast clouds
112,Bandarbeyla,SO,9.4942,50.8122,78.55,76,35,18.05,scattered clouds
113,Aksarka,RU,66.5606,67.7975,-0.45,95,42,4.25,scattered clouds
114,Pemangkat,ID,1.1667,108.9667,78.12,83,100,2.68,overcast clouds
115,Lagoa,PT,39.05,-27.9833,63.25,81,100,27.94,overcast clouds
116,Agadez,NE,19.75,10.25,69.67,27,100,7.94,overcast clouds
117,Touros,BR,-5.1989,-35.4608,80.02,72,99,12.17,overcast clouds
118,Cape Town,ZA,-33.9258,18.4232,70.38,60,0,15.01,clear sky
119,Tangzhai,CN,34.4328,116.5911,53.4,87,100,11.41,overcast clouds
120,Bredasdorp,ZA,-34.5322,20.0403,63.27,80,0,13.27,clear sky
