City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2022-11-26 23:48:27,-16.4833,-151.75,79.5,71,16,11.68
1,Port Alfred,ZA,2022-11-26 23:48:27,-33.5906,26.891,61.18,94,65,2.53
2,Atuona,PF,2022-11-26 23:48:28,-9.8,-139.0333,77.85,76,19,13.13
3,Praia Da Vitoria,PT,2022-11-26 23:48:28,38.7333,-27.0667,55.76,94,0,3.98
4,Cabo San Lucas,MX,2022-11-26 23:47:00,22.8909,-109.9124,79.9,55,0,5.3
5,Guerrero Negro,MX,2022-11-26 23:48:29,27.9769,-114.0611,65.95,53,38,15.66
6,Victoria,HK,2022-11-26 23:45:41,22.2855,114.1577,73.94,92,98,13.0
7,Kavieng,PG,2022-11-26 23:48:29,-2.5744,150.7967,84.34,61,84,6.73
8,Daru,PG,2022-11-26 23:48:29,-9.0763,143.2092,79.45,85,100,9.93
9,Busselton,AU,2022-11-26 23:48:30,-33.65,115.3333,61.07,60,0,10.76
10,Waddan,LY,2022-11-26 23:48:30,29.1614,16.139,60.78,66,14,14.27
11,Porto Real,BR,2022-11-26 23:48:30,-22.4197,-44.2903,66.29,98,80,1.59
12,Millet,CA,2022-11-26 23:45:41,53.1001,-113.4687,33.94,84,82,7.2
13,Kaitangata,NZ,2022-11-26 23:48:31,-46.2817,169.8464,54.57,53,26,7.7
14,Pevek,RU,2022-11-26 23:48:31,69.7008,170.3133,-24.99,97,42,4.38
15,Qui Nhon,VN,2022-11-26 23:48:32,13.7667,109.2333,76.68,87,99,3.53
16,Pacific Grove,US,2022-11-26 23:48:32,36.6177,-121.9166,66.54,83,0,7.0
17,Saldanha,ZA,2022-11-26 23:48:32,-33.0117,17.9442,59.05,74,0,20.51
18,Ponta Do Sol,PT,2022-11-26 23:48:33,32.6667,-17.1,66.7,73,35,1.79
19,Saint-Philippe,RE,2022-11-26 23:48:33,-21.3585,55.7679,69.39,81,14,11.07
20,Bluff,NZ,2022-11-26 23:48:33,-46.6,168.3333,54.81,59,49,7.05
21,Yellowknife,CA,2022-11-26 23:45:41,62.456,-114.3525,14.52,92,100,6.91
22,Muros,ES,2022-11-26 23:48:34,42.7762,-9.0603,60.1,76,100,17.96
23,Fasano,IT,2022-11-26 23:48:34,40.8344,17.3584,55.92,64,100,18.45
24,Cabedelo,BR,2022-11-26 23:48:17,-6.9811,-34.8339,79.47,78,83,11.27
25,Opuwo,NA,2022-11-26 23:44:08,-18.0607,13.84,71.65,28,19,5.28
26,Maicao,CO,2022-11-26 23:48:35,11.3832,-72.2432,78.06,85,57,7.78
27,Matara,LK,2022-11-26 23:48:35,5.9485,80.5353,74.62,88,33,3.06
28,Punta Arenas,CL,2022-11-26 23:48:35,-53.15,-70.9167,51.91,54,75,18.41
29,Hobart,AU,2022-11-26 23:44:44,-42.8794,147.3294,62.26,63,75,6.91
30,Sorland,NO,2022-11-26 23:48:36,67.667,12.6934,44.46,80,94,24.0
31,Touros,BR,2022-11-26 23:48:36,-5.1989,-35.4608,79.65,79,100,12.82
32,Lake Havasu City,US,2022-11-26 23:48:36,34.4839,-114.3224,70.23,15,0,1.01
33,Cravo Norte,CO,2022-11-26 23:48:37,6.3017,-70.2041,78.46,82,99,5.68
34,Kasangulu,CD,2022-11-26 23:48:37,-4.5911,15.1708,69.66,98,100,2.17
35,Nouadhibou,MR,2022-11-26 23:48:37,20.931,-17.0347,70.29,64,0,15.26
36,Bantry,IE,2022-11-26 23:48:38,51.6833,-9.45,51.78,78,100,18.57
37,Souillac,MU,2022-11-26 23:48:38,-20.5167,57.5167,75.58,73,40,10.36
38,Sao Filipe,CV,2022-11-26 23:48:38,14.8961,-24.4956,77.54,64,0,10.56
39,Chimore,BO,2022-11-26 23:48:39,-16.9833,-65.1333,80.6,40,0,3.89
40,Dikson,RU,2022-11-26 23:48:39,73.5069,80.5464,8.98,99,96,5.61
41,Twin Falls,US,2022-11-26 23:46:58,42.3505,-114.6445,37.29,70,0,17.27
42,Jamestown,US,2022-11-26 23:45:21,42.097,-79.2353,47.84,28,0,12.66
43,Mataura,NZ,2022-11-26 23:48:39,-46.1927,168.8643,54.48,40,68,2.68
44,Mar Del Plata,AR,2022-11-26 23:48:40,-38.0023,-57.5575,62.62,99,100,25.01
45,Kampot,KH,2022-11-26 23:48:40,10.6167,104.1833,77.05,85,92,2.46
46,Albany,US,2022-11-26 23:49:06,42.6001,-73.9662,44.28,63,3,5.91
47,Imbituba,BR,2022-11-26 23:49:41,-28.24,-48.6703,72.86,93,99,14.18
48,Bambous Virieux,MU,2022-11-26 23:49:41,-20.3428,57.7575,75.45,73,40,10.36
49,Burhanpur,IN,2022-11-26 23:49:41,21.3,76.2333,59.27,46,0,5.14
50,Richards Bay,ZA,2022-11-26 23:47:58,-28.783,32.0377,68.9,94,100,4.74
51,Rikitea,PF,2022-11-26 23:49:42,-23.1203,-134.9692,75.92,69,100,3.78
52,Kapaa,US,2022-11-26 23:49:42,22.0752,-159.319,80.58,63,0,13.8
53,Hilo,US,2022-11-26 23:49:43,19.7297,-155.09,78.53,71,20,8.05
54,Mandalgovi,MN,2022-11-26 23:49:43,45.7625,106.2708,12.6,70,71,6.2
55,Tuktoyaktuk,CA,2022-11-26 23:49:43,69.4541,-133.0374,-2.2,84,100,13.8
56,Taltal,CL,2022-11-26 23:49:44,-25.4,-70.4833,65.66,79,23,3.65
57,Puerto Ayora,EC,2022-11-26 23:49:44,-0.7393,-90.3518,68.56,93,91,5.99
58,Dingle,PH,2022-11-26 23:49:44,10.9995,122.6711,79.02,85,44,9.31
59,Asau,RO,2022-11-26 23:49:44,46.4333,26.4,38.32,89,65,4.63
60,Hasaki,JP,2022-11-26 23:49:45,35.7333,140.8333,55.8,62,0,16.91
61,Vao,NC,2022-11-26 23:49:45,-22.6667,167.4833,74.14,64,1,9.55
62,Grindavik,IS,2022-11-26 23:49:45,63.8424,-22.4338,36.07,93,0,4.61
63,Vanimo,PG,2022-11-26 23:49:46,-2.6741,141.3028,85.59,63,95,1.48
64,Severo-Kurilsk,RU,2022-11-26 23:49:46,50.6789,156.125,35.76,98,100,18.61
65,Nanortalik,GL,2022-11-26 23:49:46,60.1432,-45.2371,33.42,86,94,9.01
66,Vaini,TO,2022-11-26 23:49:47,-21.2,-175.2,75.36,94,75,5.75
67,Mikhaylovka,RU,2022-11-26 23:49:47,50.06,43.2379,32.79,82,100,13.71
